断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
汤溇,2022/11/24 4:00,Ⅱ,16.8,7.85,9,394,114.2,3.26,0.031,0.056,0.62,*,*,正常,2022_11_24_06h48m
小梅口,2022/11/24 4:00,Ⅱ,16.7,7.76,7.68,429.7,93.5,3.17,0.042,0.064,0.96,*,*,正常,2022_11_24_06h48m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_10h49m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_24_10h49m
锡东水厂,2022/11/24 8:00,Ⅳ,17.4,8.26,8.47,386.5,44.4,1.29,0.025,0.063,1.57,0.003,1778530,正常,2022_11_24_10h49m
兰山嘴,2022/11/24 8:00,Ⅲ,14.9,8.28,9.56,430.7,25,4.11,0.025,0.028,0.71,0.016,7694029,正常,2022_11_24_10h49m
拖山,2022/11/24 8:00,Ⅲ,16.4,7.77,9.64,357.4,26.6,2.53,0.025,0.041,1.04,0.009,13548960,正常,2022_11_24_10h49m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_10h49m
汤溇,2022/11/24 8:00,Ⅱ,16.7,7.79,8.82,394.3,99.7,3.26,0.033,0.057,0.61,*,*,正常,2022_11_24_10h49m
小梅口,2022/11/24 8:00,Ⅱ,16.7,7.81,7.63,431.2,90.1,3.31,0.04,0.064,0.8,*,*,正常,2022_11_24_10h49m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_14h49m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_24_14h49m
锡东水厂,2022/11/24 12:00,Ⅳ,18.1,8.27,8.46,390.1,40.8,1.38,0.025,0.065,1.57,0.002,1658510,正常,2022_11_24_14h49m
兰山嘴,2022/11/24 12:00,Ⅲ,15.4,8.31,11.1,429.1,42.4,4.11,0.025,0.042,1.02,0.021,30291410,正常,2022_11_24_14h49m
拖山,2022/11/24 12:00,Ⅲ,16.9,8.02,11.03,364.4,20.1,2.94,0.025,0.047,1.04,0.013,16869470,正常,2022_11_24_14h49m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_14h49m
汤溇,2022/11/24 12:00,Ⅱ,17,8,9.31,397,100.8,3.4,0.029,0.054,0.64,*,*,正常,2022_11_24_14h49m
小梅口,2022/11/24 12:00,Ⅱ,16.9,7.97,8.6,429.9,100.5,3.6,0.042,0.073,0.93,*,*,正常,2022_11_24_14h49m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_18h50m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_24_18h50m
锡东水厂,2022/11/24 16:00,Ⅳ,18.6,8.28,8.58,390.5,37,1.25,0.025,0.065,1.52,0.003,1366250,正常,2022_11_24_18h50m
兰山嘴,2022/11/24 16:00,Ⅲ,15.6,8.31,11.33,423.4,29,5.89,0.025,0.032,0.98,0.014,19870490,正常,2022_11_24_18h50m
拖山,2022/11/24 16:00,Ⅲ,17.1,8.06,11.36,359.7,23.5,2.8,0.025,0.044,1.06,0.01,14835130,正常,2022_11_24_18h50m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_18h50m
汤溇,2022/11/24 16:00,Ⅱ,17,8.1,9.58,397.6,97.9,3.44,0.03,0.057,0.65,*,*,正常,2022_11_24_18h50m
小梅口,2022/11/24 16:00,Ⅲ,17,7.93,9.04,403,61.4,4.36,0.044,0.079,1.06,*,*,正常,2022_11_24_18h50m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_22h51m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_24_22h51m
锡东水厂,2022/11/24 20:00,Ⅳ,18.4,8.28,8.52,390.7,37,1.26,0.025,0.064,1.51,0.003,846520,正常,2022_11_24_22h51m
兰山嘴,2022/11/24 20:00,Ⅲ,15.4,8.31,11.04,421.2,29.2,5.13,0.025,0.035,0.76,0.014,15424410,正常,2022_11_24_22h51m
拖山,2022/11/24 20:00,Ⅲ,16.9,8.02,11,363.7,21.5,2.69,0.025,0.044,1.01,0.012,14533950,正常,2022_11_24_22h51m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_24_22h51m
汤溇,2022/11/24 20:00,Ⅱ,17,8.06,9.45,398.8,83.6,3.09,0.025,0.051,0.53,*,*,正常,2022_11_24_22h51m
小梅口,2022/11/24 20:00,Ⅲ,16.9,8.01,9.19,403.2,60.9,4.35,0.043,0.087,1.04,*,*,正常,2022_11_24_22h51m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_25_02h51m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_25_02h51m
锡东水厂,2022/11/24 20:00,Ⅳ,18.4,8.28,8.52,390.7,37,1.26,0.025,0.064,1.51,0.003,846520,正常,2022_11_25_02h51m
兰山嘴,2022/11/25 0:00,Ⅲ,15.3,8.28,10.14,425.6,31.6,5.13,0.025,0.041,0.66,0.016,10863270,正常,2022_11_25_02h51m
拖山,2022/11/25 0:00,Ⅲ,16.6,8.01,10.84,364.9,33,2.69,0.025,0.05,0.94,0.012,15058630,正常,2022_11_25_02h51m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_25_02h51m
汤溇,2022/11/24 20:00,Ⅱ,17,8.06,9.45,398.8,83.6,3.09,0.025,0.051,0.53,*,*,正常,2022_11_25_02h51m
小梅口,2022/11/25 0:00,Ⅲ,16.9,8.01,9.19,403.2,60.9,4.35,0.043,0.087,1.04,*,*,正常,2022_11_25_02h51m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_25_06h52m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_25_06h52m
锡东水厂,2022/11/25 4:00,Ⅳ,17.8,8.26,8.47,390.5,41.4,1.35,0.025,0.062,1.56,0.003,1316160,正常,2022_11_25_06h52m
兰山嘴,2022/11/25 4:00,Ⅲ,15.2,8.29,9.92,424.2,26.7,3.15,0.025,0.034,0.54,0.017,8357244,正常,2022_11_25_06h52m
拖山,2022/11/25 4:00,Ⅳ,16.5,7.96,10.48,365.5,31.6,2.86,0.025,0.055,1,0.011,15126210,正常,2022_11_25_06h52m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_25_06h52m
汤溇,2022/11/25 4:00,Ⅱ,16.6,7.92,9.07,396.9,80.2,2.94,0.031,0.047,0.55,*,*,正常,2022_11_25_06h52m
小梅口,2022/11/25 4:00,,16.7,8.03,9.22,403.7,59.4,--,0.04,0.077,0.79,*,*,维护,2022_11_25_06h52m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_10h53m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_25_10h53m
锡东水厂,2022/11/25 8:00,Ⅳ,17.4,8.27,8.51,390.2,45,1.24,0.025,0.06,1.58,0.004,1391110,正常,2022_11_25_10h53m
兰山嘴,2022/11/25 8:00,Ⅲ,15.2,8.31,9.69,423.5,28.1,3.58,0.025,0.037,0.59,0.016,8108825,正常,2022_11_25_10h53m
拖山,2022/11/25 8:00,Ⅲ,16.4,7.99,10.47,367.9,31.4,3.04,0.025,0.049,0.95,0.014,15972650,正常,2022_11_25_10h53m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_10h53m
汤溇,2022/11/25 8:00,Ⅱ,16.5,7.91,9,395.8,77.8,2.79,0.031,0.046,0.51,*,*,正常,2022_11_25_10h53m
小梅口,2022/11/25 8:00,Ⅱ,16.7,7.98,8.95,404.2,58.8,3.61,0.04,0.072,0.91,*,*,正常,2022_11_25_10h53m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_14h53m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_25_14h53m
锡东水厂,2022/11/25 12:00,Ⅳ,18,8.3,8.53,391.9,38.6,1.33,0.025,0.064,1.55,0.004,1881120,正常,2022_11_25_14h53m
兰山嘴,2022/11/25 12:00,Ⅲ,15.6,8.31,10.88,421.6,32.9,5.91,0.025,0.033,0.82,0.024,14368560,正常,2022_11_25_14h53m
拖山,2022/11/25 12:00,Ⅳ,17.1,8.51,13.26,384.2,18.2,4.43,0.025,0.054,0.89,0.024,23115340,正常,2022_11_25_14h53m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_14h53m
汤溇,2022/11/25 12:00,Ⅱ,17,8.15,9.53,398.2,75.3,2.86,0.028,0.046,0.51,*,*,正常,2022_11_25_14h53m
小梅口,2022/11/25 12:00,Ⅲ,17.4,8.15,9.29,402.3,65.8,4.46,0.044,0.087,1.14,*,*,正常,2022_11_25_14h53m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_16h10m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_25_16h10m
锡东水厂,2022/11/25 12:00,Ⅳ,18,8.3,8.53,391.9,38.6,1.33,0.025,0.064,1.55,0.004,1881120,正常,2022_11_25_16h10m
兰山嘴,2022/11/25 12:00,Ⅲ,15.6,8.31,10.88,421.6,32.9,5.91,0.025,0.033,0.82,0.024,14368560,正常,2022_11_25_16h10m
拖山,2022/11/25 12:00,Ⅳ,17.1,8.51,13.26,384.2,18.2,4.43,0.025,0.054,0.89,0.024,23115340,正常,2022_11_25_16h10m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_16h10m
汤溇,2022/11/25 12:00,Ⅱ,17,8.15,9.53,398.2,75.3,2.86,0.028,0.046,0.51,*,*,正常,2022_11_25_16h10m
小梅口,2022/11/25 12:00,Ⅲ,17.4,8.15,9.29,402.3,65.8,4.46,0.044,0.087,1.14,*,*,正常,2022_11_25_16h10m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_20h11m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_25_20h11m
锡东水厂,2022/11/25 16:00,Ⅳ,18.3,8.31,8.51,392.5,38.4,1.29,0.025,0.062,1.52,0.005,1724920,正常,2022_11_25_20h11m
兰山嘴,2022/11/25 16:00,Ⅱ,16.2,8.39,11.78,424.4,16.3,2.87,0.025,0.023,0.48,0.039,8417962,正常,2022_11_25_20h11m
拖山,2022/11/25 16:00,Ⅳ,18,8.75,15.73,386.7,10.5,4.43,0.025,0.054,0.69,0.036,19495530,正常,2022_11_25_20h11m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_25_20h11m
汤溇,2022/11/25 16:00,Ⅱ,17.1,8.35,10.02,394,69.7,3.32,0.028,0.05,0.58,*,*,正常,2022_11_25_20h11m
小梅口,2022/11/25 16:00,Ⅲ,17.4,7.97,8.78,404.8,63.4,4.07,0.041,0.078,1.2,*,*,正常,2022_11_25_20h11m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_26_00h11m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_26_00h11m
锡东水厂,2022/11/25 20:00,Ⅳ,18.3,8.27,8.47,393.7,34.7,1.34,0.025,0.063,1.53,0.003,1490700,正常,2022_11_26_00h11m
兰山嘴,2022/11/25 20:00,Ⅲ,15.9,8.41,10.6,425,11.8,3.12,0.025,0.027,0.61,0.015,6107447,正常,2022_11_26_00h11m
拖山,2022/11/25 20:00,Ⅲ,17.3,8.62,14.82,419.3,10.9,3.82,0.025,0.045,0.7,0.018,24995920,正常,2022_11_26_00h11m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_26_00h11m
汤溇,2022/11/25 20:00,Ⅱ,17,8.27,9.77,395.1,68.8,3.12,0.028,0.05,0.59,*,*,正常,2022_11_26_00h11m
小梅口,2022/11/25 20:00,Ⅱ,17.4,7.97,8.91,405.2,54.2,3.46,0.036,0.067,0.88,*,*,正常,2022_11_26_00h11m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_26_04h12m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_26_04h12m
锡东水厂,2022/11/25 20:00,Ⅳ,18.3,8.27,8.47,393.7,34.7,1.34,0.025,0.063,1.53,0.003,1490700,正常,2022_11_26_04h12m
兰山嘴,2022/11/26 0:00,Ⅱ,15.7,8.39,10.32,424.5,10,3.12,0.025,0.021,0.46,0.012,5762964,正常,2022_11_26_04h12m
拖山,2022/11/26 0:00,Ⅲ,17.2,8.41,13.22,418.5,13.2,3.82,0.025,0.046,0.67,0.019,25333790,正常,2022_11_26_04h12m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_26_04h12m
汤溇,2022/11/25 20:00,Ⅱ,17,8.27,9.77,395.1,68.8,3.12,0.028,0.05,0.59,*,*,正常,2022_11_26_04h12m
小梅口,2022/11/26 0:00,Ⅱ,17.4,7.97,8.91,405.2,54.2,3.46,0.036,0.067,0.88,*,*,正常,2022_11_26_04h12m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_08h13m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_26_08h13m
锡东水厂,2022/11/26 4:00,Ⅳ,17.8,8.25,8.45,392.4,38.4,1.35,0.025,0.065,1.51,0.004,1833380,正常,2022_11_26_08h13m
兰山嘴,2022/11/26 4:00,Ⅱ,15.3,8.29,10.71,428.8,21.1,3.2,0.025,0.024,0.52,0.016,18026650,正常,2022_11_26_08h13m
拖山,2022/11/26 4:00,Ⅲ,16.8,8.44,12.88,418.6,14.8,3.54,0.025,0.048,0.48,0.017,24591430,正常,2022_11_26_08h13m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_08h13m
汤溇,2022/11/26 4:00,Ⅱ,17,8.16,9.43,395.6,82.4,3.73,0.026,0.062,0.72,*,*,正常,2022_11_26_08h13m
小梅口,2022/11/26 4:00,Ⅱ,17,7.97,8.72,404.7,58.4,3.32,0.036,0.066,0.94,*,*,正常,2022_11_26_08h13m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_11h18m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_26_11h18m
锡东水厂,2022/11/26 8:00,Ⅳ,18,8.31,8.56,390.4,31.5,1.24,0.025,0.061,1.48,0.005,2041290,正常,2022_11_26_11h18m
兰山嘴,2022/11/26 8:00,Ⅱ,15.5,8.38,9.9,424.5,9.4,2.86,0.025,0.024,0.42,0.013,5918356,正常,2022_11_26_11h18m
拖山,2022/11/26 8:00,Ⅲ,16.8,8.43,12.69,419.5,11.8,3.67,0.025,0.046,0.74,0.016,26096370,正常,2022_11_26_11h18m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_11h18m
汤溇,2022/11/26 8:00,Ⅱ,17,8.12,9.34,395.4,81.2,3.51,0.028,0.056,0.71,*,*,正常,2022_11_26_11h18m
小梅口,2022/11/26 8:00,Ⅱ,17,7.97,8.6,404.1,57.3,3.48,0.038,0.07,0.81,*,*,正常,2022_11_26_11h18m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_14h54m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_26_14h54m
锡东水厂,2022/11/26 12:00,Ⅳ,18.5,8.35,8.65,389.1,31.2,1.25,0.025,0.061,1.45,0.004,949670,正常,2022_11_26_14h54m
兰山嘴,2022/11/26 12:00,Ⅱ,16.8,8.39,10.97,425.8,10.8,2.77,0.025,0.022,0.5,0.022,6940480,正常,2022_11_26_14h54m
拖山,2022/11/26 12:00,Ⅲ,18,8.69,15.65,417.3,10.6,3.99,0.025,0.05,0.69,0.012,26444540,正常,2022_11_26_14h54m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_14h54m
汤溇,2022/11/26 12:00,Ⅲ,17.9,8.53,10.31,390.8,77.6,4.03,0.027,0.059,0.8,*,*,正常,2022_11_26_14h54m
小梅口,2022/11/26 12:00,Ⅲ,18.2,8.27,9.51,402.8,57.5,4.1,0.037,0.078,0.99,*,*,正常,2022_11_26_14h54m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_16h53m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_26_16h53m
锡东水厂,2022/11/26 12:00,Ⅳ,18.5,8.35,8.65,389.1,31.2,1.25,0.025,0.061,1.45,0.004,949670,正常,2022_11_26_16h53m
兰山嘴,2022/11/26 16:00,Ⅱ,16.6,8.4,11.16,425.6,7.9,2.77,0.025,0.021,0.46,0.023,36453410,正常,2022_11_26_16h53m
拖山,2022/11/26 16:00,Ⅲ,17.5,8.67,15.37,417.5,11.8,3.99,0.025,0.047,0.74,0.011,24497720,正常,2022_11_26_16h53m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_26_16h53m
汤溇,2022/11/26 12:00,Ⅲ,17.9,8.53,10.31,390.8,77.6,4.03,0.027,0.059,0.8,*,*,正常,2022_11_26_16h53m
小梅口,2022/11/26 16:00,Ⅲ,18.2,8.27,9.51,402.8,57.5,4.1,0.037,0.078,0.99,*,*,正常,2022_11_26_16h53m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_08h53m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_28_08h53m
锡东水厂,2022/11/28 4:00,Ⅳ,17.9,8.26,8.5,396.1,49,1.53,0.025,0.071,1.63,0.003,1677250,正常,2022_11_28_08h53m
兰山嘴,2022/11/28 8:00,Ⅳ,15.1,8.3,9.48,426.8,64.7,8.32,0.025,0.049,0.94,0.022,29347980,正常,2022_11_28_08h53m
拖山,2022/11/28 8:00,Ⅳ,16.8,8.19,9.73,421.5,32.4,3.79,0.025,0.057,0.72,0.009,24732390,正常,2022_11_28_08h53m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_08h53m
汤溇,2022/11/28 4:00,Ⅱ,17,8.28,9.14,395,54.8,3.14,0.029,0.042,0.56,*,*,正常,2022_11_28_08h53m
小梅口,2022/11/28 8:00,Ⅱ,16.9,7.9,8.24,405.4,65.4,3.26,0.038,0.065,0.95,*,*,正常,2022_11_28_08h53m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_13h14m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_28_13h14m
锡东水厂,2022/11/28 8:00,Ⅳ,17.9,8.27,8.52,396.6,46.3,1.58,0.025,0.07,1.6,0.003,1824480,正常,2022_11_28_13h14m
兰山嘴,2022/11/28 12:00,Ⅳ,15.5,8.3,10.35,429.2,43.4,7.26,0.025,0.041,0.74,0.023,18849120,正常,2022_11_28_13h14m
拖山,2022/11/28 12:00,Ⅳ,17.3,8.25,10.44,421.5,23,3.88,0.025,0.062,0.78,0.008,25524830,正常,2022_11_28_13h14m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_13h14m
汤溇,2022/11/28 8:00,Ⅱ,16.9,8.21,8.99,395.6,51.5,3.26,0.029,0.042,0.58,*,*,正常,2022_11_28_13h14m
小梅口,2022/11/28 12:00,Ⅱ,16.8,7.82,7.85,404.5,64.3,3.3,0.038,0.063,0.84,*,*,正常,2022_11_28_13h14m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_18h28m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_28_18h28m
锡东水厂,2022/11/28 16:00,Ⅳ,18.6,8.3,8.42,401.7,50.8,1.53,0.025,0.073,1.87,0.002,1370290,正常,2022_11_28_18h28m
兰山嘴,2022/11/28 16:00,Ⅲ,15.8,8.35,10.39,426.2,31.3,4.01,0.025,0.033,0.66,0.027,13574220,正常,2022_11_28_18h28m
拖山,2022/11/28 16:00,Ⅳ,17.4,8.26,10.55,420.9,22.5,3.75,0.025,0.059,0.71,0.008,26177020,正常,2022_11_28_18h28m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_28_18h28m
汤溇,2022/11/28 16:00,Ⅱ,17.4,8.4,9.34,392.4,52.8,3.23,0.029,0.044,0.55,*,*,正常,2022_11_28_18h28m
小梅口,2022/11/28 16:00,Ⅱ,17.3,7.86,8.2,404.1,73.3,4,0.037,0.078,0.94,*,*,正常,2022_11_28_18h28m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_10h16m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_29_10h16m
锡东水厂,2022/11/29 8:00,Ⅳ,17.9,8.27,8.51,400.6,46.7,1.53,0.025,0.068,1.83,0.004,1714330,正常,2022_11_29_10h16m
兰山嘴,2022/11/29 8:00,Ⅳ,15.2,8.31,9.47,429.2,66.1,7.74,0.025,0.06,1.06,0.024,32651770,正常,2022_11_29_10h16m
拖山,2022/11/29 8:00,Ⅳ,16.8,8.08,9.58,420.9,58.9,4.05,0.025,0.066,1.09,0.009,24816210,正常,2022_11_29_10h16m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_10h16m
汤溇,2022/11/29 8:00,Ⅲ,17,8.04,8.89,389.8,276.8,5.46,0.036,0.116,0.93,*,*,正常,2022_11_29_10h16m
小梅口,2022/11/29 8:00,Ⅱ,16.7,7.77,8.16,401.3,93.5,4.36,0.039,0.1,1.14,*,*,正常,2022_11_29_10h16m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_14h04m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_29_14h04m
锡东水厂,2022/11/29 12:00,Ⅳ,17.4,8.36,8.72,397.4,46.4,1.62,0.025,0.066,1.78,0.005,2102120,正常,2022_11_29_14h04m
兰山嘴,2022/11/29 12:00,Ⅳ,15,8.32,9.53,435.4,104.1,8.68,0.025,0.072,1.38,0.027,41151700,正常,2022_11_29_14h04m
拖山,2022/11/29 12:00,Ⅳ,16.5,8.07,9.68,425.9,68.1,4.15,0.025,0.084,0.62,0.009,26005930,正常,2022_11_29_14h04m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_14h04m
汤溇,2022/11/29 8:00,Ⅲ,17,8.04,8.89,389.8,276.8,5.46,0.036,0.116,0.93,*,*,正常,2022_11_29_14h04m
小梅口,2022/11/29 12:00,Ⅲ,16.7,7.77,8.16,401.3,93.5,4.36,0.039,0.1,1.14,*,*,正常,2022_11_29_14h04m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_18h04m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_29_18h04m
锡东水厂,2022/11/29 16:00,Ⅳ,17,8.33,8.84,397.6,53.3,1.72,0.025,0.069,1.84,0.005,2136830,正常,2022_11_29_18h04m
兰山嘴,2022/11/29 16:00,Ⅳ,14.6,8.32,9.59,433,98.4,7.61,0.025,0.079,1.29,0.022,29836950,正常,2022_11_29_18h04m
拖山,2022/11/29 16:00,Ⅳ,16.1,7.97,9.75,424.8,79.5,4.06,0.025,0.08,0.98,0.009,22883140,正常,2022_11_29_18h04m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_18h04m
汤溇,2022/11/29 12:00,Ⅲ,16.6,8,9,387.6,283,5.23,0.038,0.1,0.92,*,*,正常,2022_11_29_18h04m
小梅口,2022/11/29 16:00,Ⅲ,16.5,7.82,8.41,398.2,101.5,4.8,0.046,0.106,1.42,*,*,正常,2022_11_29_18h04m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_22h05m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2022_11_29_22h05m
锡东水厂,2022/11/29 20:00,Ⅳ,15.8,8.38,9.13,395.3,52.4,1.77,0.025,0.068,1.85,0.004,1648410,正常,2022_11_29_22h05m
兰山嘴,2022/11/29 20:00,Ⅳ,14,8.32,9.77,432.7,108.5,6.93,0.025,0.073,1.22,0.027,24295230,正常,2022_11_29_22h05m
拖山,2022/11/29 20:00,Ⅴ,15.4,7.89,9.94,432.4,146.8,4.89,0.025,0.144,0.98,0.008,22264270,正常,2022_11_29_22h05m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2022_11_29_22h05m
汤溇,2022/11/29 16:00,Ⅲ,16.1,8.01,9.13,389.3,377.4,5.35,0.04,0.126,0.94,*,*,正常,2022_11_29_22h05m
小梅口,2022/11/29 20:00,Ⅲ,15.9,7.81,8.6,399.8,128.3,4.4,0.056,0.11,1.42,*,*,正常,2022_11_29_22h05m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_30_02h05m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_30_02h05m
锡东水厂,2022/11/29 20:00,Ⅳ,15.8,8.38,9.13,395.3,52.4,1.77,0.025,0.068,1.85,0.004,1648410,正常,2022_11_30_02h05m
兰山嘴,2022/11/30 0:00,Ⅳ,13.2,8.34,9.89,439,109.8,6.93,0.025,0.067,1.32,0.023,24697640,正常,2022_11_30_02h05m
拖山,2022/11/30 0:00,Ⅴ,14.5,7.83,10.14,433.5,159.3,4.89,0.025,0.141,1.03,0.008,22352980,正常,2022_11_30_02h05m
兰山嘴(老),2022/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2022_11_30_02h05m
汤溇,2022/11/29 20:00,Ⅲ,15.5,7.96,9.25,389.5,428.4,5.61,0.043,0.138,1.04,*,*,正常,2022_11_30_02h05m
小梅口,2022/11/30 0:00,Ⅲ,15,7.73,8.92,397.3,151.7,5.03,0.071,0.126,1.68,*,*,正常,2022_11_30_02h05m
沙渚,2022/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2022_11_30_06h06m
陈东港,2022/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2022_11_30_06h06m
锡东水厂,2022/11/30 4:00,Ⅳ,13.3,8.47,9.67,384.9,54.4,2.23,0.025,0.053,1.58,0.013,4300480,正常,2022_11_30_06h06m
