Station,Time,水质类别,Temp,pH,DO,EC,Turbidity,CODMn,NH3N,TP,TN,叶绿素α(mg/L),Cell,Date
兰山嘴,2023-03-06 00:00:00,Ⅳ,10.6,8.39,11.33,430.0,57.1,2.75,0.04,0.053,1.3,0.014,6760720.0,2023-03-06
兰山嘴,2023-03-06 04:00:00,Ⅳ,10.4,8.37,11.16,428.6,60.1,2.87,0.044,0.055,1.17,0.013,6886435.0,2023-03-06
兰山嘴,2023-03-06 08:00:00,Ⅳ,10.2,8.34,11.08,430.5,64.8,2.86,0.035,0.054,1.2,0.012,7142214.0,2023-03-06
兰山嘴,2023-03-06 12:00:00,Ⅳ,10.8,8.35,11.16,432.9,64.2,2.86,0.025,0.054,1.2,0.012,7450511.0,2023-03-06
兰山嘴,2023-03-06 16:00:00,Ⅳ,11.6,8.35,11.1,431.8,65.3,3.22,0.025,0.058,1.14,0.012,7251078.0,2023-03-06
兰山嘴,2023-03-06 20:00:00,Ⅳ,11.6,8.35,10.99,430.4,55.6,2.89,0.025,0.052,1.21,0.013,7418044.0,2023-03-06
兰山嘴,2023-03-07 00:00:00,Ⅲ,11.5,8.34,10.91,429.8,49.7,2.89,0.025,0.046,1.21,0.013,6425916.0,2023-03-07
兰山嘴,2023-03-07 04:00:00,Ⅲ,11.3,8.32,10.86,429.6,49.0,2.65,0.035,0.048,1.21,0.012,6410579.0,2023-03-07
兰山嘴,2023-03-07 08:00:00,Ⅲ,11.2,8.3,10.8,430.0,50.5,2.78,0.033,0.045,1.18,0.011,6501548.0,2023-03-07
兰山嘴,2023-03-07 12:00:00,Ⅲ,11.9,8.34,10.98,431.8,47.4,2.64,0.025,0.045,1.22,0.014,7504239.0,2023-03-07
兰山嘴,2023-03-07 20:00:00,Ⅲ,12.4,8.5,11.4,427.8,38.5,2.84,0.034,0.043,1.18,0.021,6992210.0,2023-03-07
兰山嘴,2023-03-08 00:00:00,Ⅲ,12.3,8.55,11.5,426.9,35.3,2.84,0.033,0.042,1.19,0.034,7644879.0,2023-03-08
兰山嘴,2023-03-08 04:00:00,Ⅲ,12.2,8.56,11.48,426.1,32.2,2.98,0.042,0.043,1.17,0.037,7977753.0,2023-03-08
兰山嘴,2023-03-08 08:00:00,Ⅲ,12.1,8.58,11.44,425.9,31.5,3.04,0.052,0.043,1.19,0.041,8542402.0,2023-03-08
兰山嘴,2023-03-08 12:00:00,Ⅲ,13.2,8.92,13.06,423.4,29.3,2.73,0.036,0.041,1.15,0.066,11739280.0,2023-03-08
兰山嘴,2023-03-08 16:00:00,Ⅲ,13.3,8.75,12.6,425.6,32.3,3.09,0.046,0.045,1.21,0.03,8145512.0,2023-03-08
兰山嘴,2023-03-08 20:00:00,Ⅲ,13.4,8.69,12.24,427.9,30.6,2.78,0.05,0.04,1.21,0.019,6590917.0,2023-03-08
兰山嘴,2023-03-09 00:00:00,Ⅲ,13.0,8.55,11.73,436.6,28.1,2.78,0.059,0.041,1.21,0.021,6617035.0,2023-03-09
兰山嘴,2023-03-09 04:00:00,Ⅲ,12.5,8.58,11.68,460.0,28.2,2.77,0.042,0.042,1.55,0.027,6941114.0,2023-03-09
兰山嘴,2023-03-09 08:00:00,Ⅲ,12.5,8.56,11.75,467.4,30.2,3.28,0.046,0.047,1.66,0.055,9704442.0,2023-03-09
兰山嘴,2023-03-09 12:00:00,Ⅳ,14.0,8.98,14.08,475.5,27.8,4.04,0.025,0.059,1.81,0.074,14203680.0,2023-03-09
兰山嘴,2023-03-09 16:00:00,劣Ⅴ,15.5,9.12,15.06,466.2,28.0,3.67,0.047,0.049,1.6,0.042,9694615.0,2023-03-09
兰山嘴,2023-03-09 20:00:00,劣Ⅴ,14.8,9.03,14.3,464.6,24.5,3.43,0.049,0.045,1.62,0.052,8348845.0,2023-03-09
兰山嘴,2023-03-10 00:00:00,Ⅲ,14.3,8.89,13.14,463.1,22.9,3.43,0.047,0.043,1.67,0.05,7941745.0,2023-03-10
兰山嘴,2023-03-10 04:00:00,Ⅲ,13.8,8.82,12.75,461.3,21.8,3.01,0.045,0.041,1.67,0.043,7972576.0,2023-03-10
兰山嘴,2023-03-10 08:00:00,Ⅲ,14.0,8.88,13.13,457.9,18.9,3.6,0.034,0.046,1.83,0.05,9876748.0,2023-03-10
兰山嘴,2023-03-10 12:00:00,劣Ⅴ,15.1,9.1,14.27,462.3,19.3,3.47,0.025,0.046,1.62,0.04,12361720.0,2023-03-10
兰山嘴,2023-03-10 16:00:00,劣Ⅴ,15.9,9.13,14.78,458.9,17.9,3.19,0.031,0.044,1.5,0.031,8929521.0,2023-03-10
兰山嘴,2023-03-10 20:00:00,劣Ⅴ,15.4,9.04,13.67,455.5,16.8,3.45,0.039,0.044,1.63,0.041,8159869.0,2023-03-10
兰山嘴,2023-03-11 00:00:00,Ⅲ,15.0,9.0,13.15,452.2,17.4,3.45,0.04,0.043,1.64,0.043,8298513.0,2023-03-11
兰山嘴,2023-03-11 04:00:00,Ⅲ,14.8,8.92,12.37,450.8,20.6,3.33,0.039,0.044,1.58,0.043,8221509.0,2023-03-11
兰山嘴,2023-03-11 08:00:00,Ⅳ,14.6,8.91,12.02,452.0,29.4,3.26,0.032,0.052,1.5,0.035,8778334.0,2023-03-11
兰山嘴,2023-03-11 12:00:00,劣Ⅴ,15.5,9.01,12.43,447.3,20.6,3.22,0.025,0.049,1.5,0.033,9096943.0,2023-03-11
兰山嘴,2023-03-11 16:00:00,劣Ⅴ,16.0,9.08,13.23,443.2,17.0,3.28,0.042,0.046,1.46,0.034,8103542.0,2023-03-11
兰山嘴,2023-03-11 20:00:00,Ⅲ,15.4,8.94,12.07,440.3,23.1,3.22,0.042,0.046,1.45,0.036,8242494.0,2023-03-11
兰山嘴,2023-03-12 00:00:00,Ⅲ,15.4,8.86,11.43,434.4,20.3,3.22,0.05,0.043,1.44,0.032,7634265.0,2023-03-12
兰山嘴,2023-03-12 04:00:00,Ⅳ,15.2,8.76,10.96,426.8,42.9,3.56,0.05,0.061,1.42,0.038,9005117.0,2023-03-12
兰山嘴,2023-03-12 08:00:00,Ⅴ,14.8,8.67,10.43,422.7,88.3,4.38,0.025,0.113,1.49,0.037,11441950.0,2023-03-12
兰山嘴,2023-03-12 12:00:00,Ⅴ,14.8,8.62,10.3,421.1,79.3,4.05,0.025,0.109,1.58,0.033,10625220.0,2023-03-12
兰山嘴,2023-03-12 16:00:00,Ⅳ,15.0,8.62,10.3,418.1,76.7,4.01,0.025,0.089,1.55,0.031,10277860.0,2023-03-12
兰山嘴,2023-03-12 20:00:00,Ⅳ,14.4,8.61,10.15,418.5,76.4,3.93,0.025,0.094,1.5,0.026,9565290.0,2023-03-12
兰山嘴,2023-03-13 00:00:00,Ⅳ,14.0,8.64,10.02,415.9,60.0,3.93,0.025,0.07,1.43,0.025,8196005.0,2023-03-13
兰山嘴,2023-03-13 04:00:00,Ⅳ,13.5,8.6,9.85,410.3,50.0,3.44,0.025,0.066,1.46,0.026,8562426.0,2023-03-13
兰山嘴,2023-03-13 08:00:00,Ⅳ,13.3,8.54,9.78,407.4,59.8,3.58,0.025,0.062,1.34,0.022,8162599.0,2023-03-13
兰山嘴,2023-03-13 12:00:00,Ⅳ,13.8,8.56,10.03,407.3,55.6,3.32,0.025,0.064,1.34,0.025,8814576.0,2023-03-13
兰山嘴,2023-03-13 16:00:00,Ⅳ,14.3,8.61,10.2,409.0,85.1,4.1,0.025,0.09,1.43,0.024,9787301.0,2023-03-13
兰山嘴,2023-03-13 20:00:00,Ⅴ,14.0,8.49,10.12,417.4,97.8,4.56,0.025,0.127,2.01,0.025,9661441.0,2023-03-13
兰山嘴,2023-03-14 00:00:00,Ⅴ,13.3,8.44,9.89,408.3,80.5,4.56,0.025,0.104,1.56,0.019,8757018.0,2023-03-14
兰山嘴,2023-03-14 04:00:00,Ⅳ,12.8,8.48,9.82,401.9,91.0,3.95,0.025,0.09,1.39,0.025,9757440.0,2023-03-14
兰山嘴,2023-03-14 08:00:00,Ⅳ,12.4,8.39,9.83,407.7,100.2,3.98,0.025,0.097,1.33,0.026,9453740.0,2023-03-14
兰山嘴,2023-03-14 12:00:00,,13.1,8.38,10.05,407.1,95.9,,,0.089,1.33,0.024,9636426.0,2023-03-14
兰山嘴,2023-03-14 16:00:00,Ⅳ,13.8,8.42,10.18,414.1,81.7,3.55,0.025,0.087,1.32,0.025,9405436.0,2023-03-14
兰山嘴,2023-03-14 20:00:00,Ⅳ,13.6,8.39,10.07,414.3,91.1,3.7,0.025,0.09,1.38,0.025,9583577.0,2023-03-14
兰山嘴,2023-03-15 00:00:00,Ⅳ,13.4,8.39,9.99,416.7,83.6,3.7,0.025,0.085,1.4,0.024,9208065.0,2023-03-15
兰山嘴,2023-03-15 04:00:00,Ⅳ,13.1,8.39,9.94,411.8,65.7,3.51,0.025,0.081,1.43,0.028,8981417.0,2023-03-15
兰山嘴,2023-03-15 08:00:00,Ⅳ,13.0,8.35,9.84,412.5,61.2,3.76,0.025,0.076,1.46,0.026,8965178.0,2023-03-15
兰山嘴,2023-03-15 12:00:00,Ⅳ,14.1,8.39,10.08,410.7,48.5,3.75,0.025,0.077,1.57,0.028,9849008.0,2023-03-15
兰山嘴,2023-03-15 16:00:00,Ⅳ,14.4,8.38,10.0,408.8,57.6,3.68,0.03,0.081,1.5,0.02,8314606.0,2023-03-15
兰山嘴,2023-03-15 20:00:00,Ⅴ,14.1,8.37,9.87,410.5,104.6,4.48,0.025,0.155,1.66,0.021,10010470.0,2023-03-15
兰山嘴,2023-03-16 00:00:00,Ⅴ,13.7,8.36,9.83,404.8,90.5,4.48,0.025,0.118,1.52,0.021,9409048.0,2023-03-16
兰山嘴,2023-03-16 04:00:00,Ⅳ,13.4,8.35,9.75,403.0,83.4,3.96,0.025,0.098,1.5,0.021,8892097.0,2023-03-16
兰山嘴,2023-03-16 08:00:00,Ⅴ,13.2,8.37,9.81,414.4,105.0,4.91,0.025,0.132,1.74,0.027,10263270.0,2023-03-16
兰山嘴,2023-03-16 12:00:00,Ⅴ,13.7,8.48,10.1,424.5,79.8,5.09,0.025,0.125,1.97,0.041,10606680.0,2023-03-16
兰山嘴,2023-03-16 20:00:00,Ⅴ,13.7,8.52,10.14,422.6,144.4,5.84,0.025,0.175,1.99,0.034,12222960.0,2023-03-16
兰山嘴,2023-03-17 00:00:00,Ⅴ,13.3,8.32,9.76,453.4,128.1,5.84,0.025,0.172,2.38,0.036,11745620.0,2023-03-17
兰山嘴,2023-03-17 04:00:00,Ⅴ,13.1,8.23,9.6,455.4,152.2,6.42,0.101,0.197,2.25,0.038,12755350.0,2023-03-17
兰山嘴,2023-03-17 08:00:00,Ⅴ,12.6,8.21,9.53,461.9,129.4,6.29,0.11,0.191,2.31,0.042,12476630.0,2023-03-17
兰山嘴,2023-03-17 12:00:00,劣Ⅴ,12.6,8.17,9.44,459.7,146.7,6.92,0.126,0.221,2.42,0.038,12512870.0,2023-03-17
兰山嘴,2023-03-17 16:00:00,Ⅴ,12.2,8.18,9.46,459.5,114.2,6.45,0.082,0.194,2.42,0.047,11796320.0,2023-03-17
兰山嘴,2023-03-17 20:00:00,Ⅴ,11.9,8.19,9.49,457.5,106.6,6.04,0.076,0.182,2.39,0.039,10740930.0,2023-03-17
兰山嘴,2023-03-18 00:00:00,Ⅴ,11.6,8.2,9.48,451.2,95.3,6.04,0.094,0.172,2.5,0.037,10319910.0,2023-03-18
兰山嘴,2023-03-18 04:00:00,Ⅴ,11.3,8.16,9.5,432.4,85.6,5.48,0.13,0.146,2.44,0.042,10408320.0,2023-03-18
兰山嘴,2023-03-18 08:00:00,Ⅴ,11.1,8.12,9.36,404.6,73.5,5.1,0.063,0.118,2.26,0.037,10049020.0,2023-03-18
兰山嘴,2023-03-18 12:00:00,Ⅴ,12.0,8.35,10.43,407.2,57.2,5.55,0.043,0.144,2.44,0.073,14012180.0,2023-03-18
兰山嘴,2023-03-18 16:00:00,Ⅴ,12.7,8.44,10.71,413.7,48.7,5.22,0.071,0.119,2.44,0.065,11024610.0,2023-03-18
兰山嘴,2023-03-18 20:00:00,Ⅳ,12.3,8.36,10.47,418.6,42.0,4.71,0.101,0.1,2.44,0.046,9267623.0,2023-03-18
兰山嘴,2023-03-19 00:00:00,Ⅴ,12.1,8.28,10.12,420.8,40.5,4.71,0.112,0.108,2.49,0.043,8847797.0,2023-03-19
兰山嘴,2023-03-19 04:00:00,Ⅴ,11.9,8.25,10.01,422.7,50.2,4.94,0.11,0.113,2.42,0.041,9230437.0,2023-03-19
兰山嘴,2023-03-19 08:00:00,Ⅴ,11.8,8.22,9.86,436.0,71.0,5.12,0.152,0.13,2.47,0.034,9448052.0,2023-03-19
兰山嘴,2023-03-19 16:00:00,Ⅴ,12.1,8.28,10.19,459.1,81.6,5.02,0.115,0.125,2.52,0.033,9931475.0,2023-03-19
兰山嘴,2023-03-19 20:00:00,Ⅴ,11.8,8.28,10.16,444.9,105.7,5.46,0.084,0.154,2.59,0.031,10520490.0,2023-03-19
兰山嘴,2023-03-20 00:00:00,Ⅴ,11.6,8.28,10.13,437.2,92.8,5.46,0.127,0.145,2.5,0.029,9602585.0,2023-03-20
兰山嘴,2023-03-20 04:00:00,Ⅴ,11.4,8.27,10.12,420.1,92.3,4.47,0.079,0.117,2.26,0.025,9240952.0,2023-03-20
兰山嘴,2023-03-20 08:00:00,Ⅳ,11.3,8.27,10.14,400.4,82.9,3.92,0.05,0.099,1.82,0.022,8821859.0,2023-03-20
兰山嘴,2023-03-20 12:00:00,Ⅳ,11.5,8.28,10.26,393.4,73.1,3.64,0.051,0.09,1.74,0.021,8418979.0,2023-03-20
兰山嘴,2023-03-20 16:00:00,Ⅳ,11.8,8.33,10.38,391.1,65.6,3.75,0.068,0.085,1.75,0.029,8463837.0,2023-03-20
兰山嘴,2023-03-20 20:00:00,Ⅳ,11.7,8.31,10.16,391.9,63.0,3.36,0.072,0.078,1.71,0.025,8139014.0,2023-03-20
兰山嘴,2023-03-21 00:00:00,Ⅳ,11.7,8.27,10.14,391.5,54.0,3.36,0.076,0.077,1.7,0.023,7753146.0,2023-03-21
兰山嘴,2023-03-21 04:00:00,Ⅳ,11.7,8.26,9.99,391.0,50.8,3.19,0.087,0.077,1.7,0.023,7560016.0,2023-03-21
兰山嘴,2023-03-21 08:00:00,Ⅳ,11.7,8.25,9.96,385.8,46.2,3.32,0.096,0.072,1.69,0.025,7872899.0,2023-03-21
兰山嘴,2023-03-21 12:00:00,Ⅳ,11.8,8.28,10.13,391.0,41.4,3.17,0.089,0.07,1.8,0.026,7616179.0,2023-03-21
兰山嘴,2023-03-21 16:00:00,Ⅳ,12.0,8.35,10.41,388.4,41.9,2.94,0.087,0.064,1.64,0.019,7040933.0,2023-03-21
兰山嘴,2023-03-21 20:00:00,Ⅳ,12.2,8.32,10.09,385.2,41.5,2.98,0.096,0.062,1.6,0.022,7057418.0,2023-03-21
兰山嘴,2023-03-22 00:00:00,Ⅳ,12.0,8.26,10.02,387.2,39.7,2.98,0.104,0.063,1.59,0.021,7236405.0,2023-03-22
兰山嘴,2023-03-22 04:00:00,Ⅳ,12.0,8.24,9.91,385.3,37.1,2.8,0.113,0.058,1.62,0.021,6999146.0,2023-03-22
兰山嘴,2023-03-22 08:00:00,Ⅳ,12.2,8.27,9.9,386.6,36.1,3.05,0.125,0.057,1.6,0.027,7521835.0,2023-03-22
兰山嘴,2023-03-22 12:00:00,Ⅳ,12.4,8.41,10.66,384.4,36.2,2.86,0.036,0.057,1.61,0.035,8324485.0,2023-03-22
兰山嘴,2023-03-22 16:00:00,Ⅳ,12.5,8.41,10.67,380.5,36.9,3.05,0.035,0.058,1.62,0.027,7836039.0,2023-03-22
兰山嘴,2023-03-22 20:00:00,Ⅳ,12.4,8.31,10.29,380.8,35.1,3.04,0.051,0.057,1.61,0.021,6887738.0,2023-03-22
兰山嘴,2023-03-23 00:00:00,Ⅳ,12.3,8.2,9.91,382.1,29.2,3.04,0.069,0.051,1.66,0.016,6507231.0,2023-03-23
兰山嘴,2023-03-23 04:00:00,Ⅳ,12.2,8.2,9.86,385.4,27.8,2.69,0.071,0.052,1.59,0.016,6379573.0,2023-03-23
兰山嘴,2023-03-23 08:00:00,Ⅳ,12.2,8.26,10.07,384.0,36.0,2.84,0.052,0.051,1.52,0.016,7257180.0,2023-03-23
兰山嘴,2023-03-23 12:00:00,Ⅳ,12.4,8.29,10.25,384.9,51.0,3.0,0.044,0.06,1.53,0.018,7789918.0,2023-03-23
兰山嘴,2023-03-23 16:00:00,Ⅳ,12.4,8.3,10.24,386.5,57.1,3.06,0.032,0.067,1.59,0.019,7938688.0,2023-03-23
兰山嘴,2023-03-23 20:00:00,Ⅳ,12.3,8.28,10.2,384.2,67.3,3.34,0.025,0.08,1.58,0.02,8250160.0,2023-03-23
兰山嘴,2023-03-24 00:00:00,Ⅳ,12.1,8.25,10.12,380.9,73.6,3.34,0.025,0.085,1.58,0.016,8191899.0,2023-03-24
兰山嘴,2023-03-24 04:00:00,Ⅳ,11.8,8.22,10.05,383.7,68.9,3.11,0.025,0.08,1.65,0.014,7654171.0,2023-03-24
兰山嘴,2023-03-24 08:00:00,Ⅳ,11.6,8.23,10.07,381.6,67.1,3.2,0.025,0.08,1.61,0.014,7771132.0,2023-03-24
兰山嘴,2023-03-24 12:00:00,Ⅳ,11.6,8.26,10.2,380.5,78.1,3.43,0.025,0.09,1.62,0.016,8519258.0,2023-03-24
兰山嘴,2023-03-24 16:00:00,Ⅳ,11.5,8.29,10.34,381.5,85.0,3.51,0.025,0.09,1.64,0.018,8805944.0,2023-03-24
兰山嘴,2023-03-24 20:00:00,Ⅳ,11.3,8.27,10.26,375.3,66.0,3.08,0.025,0.081,1.61,0.015,7753569.0,2023-03-24
兰山嘴,2023-03-25 00:00:00,Ⅳ,11.1,8.26,10.2,374.2,55.5,3.08,0.025,0.072,1.59,0.015,7030684.0,2023-03-25
兰山嘴,2023-03-25 04:00:00,Ⅳ,10.8,8.26,10.26,379.0,69.5,3.03,0.025,0.078,1.61,0.014,7677163.0,2023-03-25
兰山嘴,2023-03-25 08:00:00,Ⅳ,10.6,8.27,10.3,379.8,67.0,3.11,0.025,0.076,1.58,0.013,7378276.0,2023-03-25
兰山嘴,2023-03-25 12:00:00,Ⅳ,10.7,8.28,10.33,377.4,59.6,2.8,0.025,0.069,1.55,0.016,7138991.0,2023-03-25
兰山嘴,2023-03-25 16:00:00,Ⅳ,10.9,8.3,10.47,374.7,52.2,2.86,0.025,0.063,1.51,0.015,7067223.0,2023-03-25
兰山嘴,2023-03-25 20:00:00,Ⅳ,10.8,8.29,10.42,373.6,51.2,2.81,0.025,0.063,1.56,0.017,6990937.0,2023-03-25
兰山嘴,2023-03-26 00:00:00,Ⅳ,10.6,8.29,10.42,377.5,43.8,2.81,0.037,0.06,1.72,0.016,6680894.0,2023-03-26
兰山嘴,2023-03-26 04:00:00,Ⅳ,10.4,8.3,10.41,380.7,42.8,2.58,0.036,0.059,1.58,0.016,6553740.0,2023-03-26
兰山嘴,2023-03-26 08:00:00,Ⅳ,10.2,8.3,10.46,381.2,33.8,2.61,0.035,0.052,1.54,0.012,5989848.0,2023-03-26
兰山嘴,2023-03-26 12:00:00,Ⅳ,11.5,8.38,10.82,379.4,34.5,2.57,0.025,0.052,1.56,0.017,8070137.0,2023-03-26
兰山嘴,2023-03-26 16:00:00,Ⅳ,12.8,8.47,11.24,373.7,36.1,2.91,0.026,0.051,1.73,0.017,7918376.0,2023-03-26
兰山嘴,2023-03-26 20:00:00,Ⅳ,12.3,8.44,11.08,376.7,31.6,2.61,0.025,0.051,1.74,0.012,6173149.0,2023-03-26
兰山嘴,2023-03-27 00:00:00,Ⅳ,11.9,8.41,10.88,375.6,32.0,2.61,0.03,0.051,1.73,0.012,6888841.0,2023-03-27
兰山嘴,2023-03-27 04:00:00,Ⅲ,11.3,8.34,10.64,378.7,32.3,2.67,0.035,0.047,1.62,0.012,6075348.0,2023-03-27
兰山嘴,2023-03-27 08:00:00,Ⅲ,11.2,8.34,10.62,377.2,35.2,2.72,0.025,0.044,,0.012,6243568.0,2023-03-27
兰山嘴,2023-03-27 12:00:00,Ⅲ,12.0,8.4,10.87,380.3,36.3,2.59,0.025,0.049,1.68,0.014,7556882.0,2023-03-27
兰山嘴,2023-03-27 16:00:00,Ⅲ,12.7,8.44,11.0,378.9,33.3,2.73,0.025,0.048,1.7,0.015,6787108.0,2023-03-27
兰山嘴,2023-03-27 20:00:00,Ⅲ,12.5,8.41,10.87,378.0,31.1,2.7,0.034,0.045,1.64,0.015,6730269.0,2023-03-27
兰山嘴,2023-03-28 00:00:00,Ⅳ,12.3,8.39,10.75,380.2,47.6,2.94,0.025,0.059,1.68,0.017,7143945.0,2023-03-28
兰山嘴,2023-03-28 04:00:00,Ⅳ,12.0,8.38,10.68,377.5,53.1,2.98,0.025,0.069,1.66,0.018,7444145.0,2023-03-28
兰山嘴,2023-03-28 08:00:00,Ⅳ,11.9,8.4,10.68,377.7,50.5,2.94,0.025,0.06,1.61,0.021,7416906.0,2023-03-28
兰山嘴,2023-03-28 12:00:00,Ⅳ,12.8,8.46,10.92,376.2,48.5,2.88,0.025,0.059,1.66,0.025,8576215.0,2023-03-28
兰山嘴,2023-03-28 16:00:00,Ⅳ,13.5,8.52,11.1,372.1,37.7,2.8,0.025,0.051,1.59,0.027,7440594.0,2023-03-28
兰山嘴,2023-03-28 20:00:00,Ⅳ,13.2,8.46,10.94,371.7,48.8,2.86,0.025,0.054,1.62,0.025,7352731.0,2023-03-28
兰山嘴,2023-03-29 00:00:00,Ⅳ,13.0,8.44,10.75,373.5,73.4,3.36,0.025,0.082,1.65,0.025,8490881.0,2023-03-29
兰山嘴,2023-03-29 04:00:00,Ⅳ,12.8,8.41,10.59,372.0,83.7,3.41,0.025,0.093,1.63,0.026,8705441.0,2023-03-29
兰山嘴,2023-03-29 08:00:00,Ⅳ,12.6,8.42,10.56,371.5,85.0,3.63,0.025,0.098,1.63,0.027,9558976.0,2023-03-29
兰山嘴,2023-03-29 12:00:00,Ⅳ,12.9,8.44,10.62,367.4,67.4,3.17,0.025,0.069,1.54,0.027,8630663.0,2023-03-29
兰山嘴,2023-03-29 16:00:00,Ⅳ,13.0,8.44,10.78,511.0,70.9,3.24,0.036,0.072,1.51,0.027,9098779.0,2023-03-29
兰山嘴,2023-03-29 20:00:00,Ⅳ,12.9,8.42,10.65,505.6,73.5,3.31,0.067,0.074,1.62,0.027,9272977.0,2023-03-29
兰山嘴,2023-03-30 00:00:00,Ⅳ,12.7,8.39,10.52,501.0,84.4,3.43,0.08,0.098,1.61,0.027,9265985.0,2023-03-30
兰山嘴,2023-03-30 04:00:00,Ⅳ,12.5,8.38,10.46,495.5,77.5,3.19,0.082,0.082,1.55,0.028,8857832.0,2023-03-30
兰山嘴,2023-03-30 08:00:00,,12.4,8.35,10.38,495.4,76.5,3.14,,0.069,1.54,0.02,8905625.0,2023-03-30
兰山嘴,2023-03-30 12:00:00,Ⅳ,12.6,8.34,10.42,494.7,65.4,2.94,0.025,0.076,1.48,0.02,8628448.0,2023-03-30
兰山嘴,2023-03-30 16:00:00,Ⅳ,12.7,8.35,10.45,499.1,61.8,2.9,0.025,0.066,1.52,0.017,8262316.0,2023-03-30
兰山嘴,2023-03-31 00:00:00,Ⅳ,12.6,8.33,10.26,504.7,55.9,3.02,0.025,0.066,1.59,0.015,8082045.0,2023-03-31
兰山嘴,2023-03-31 08:00:00,Ⅳ,12.4,8.32,10.24,508.5,45.2,2.6,0.025,0.05,1.54,0.014,8363949.0,2023-03-31
兰山嘴,2023-03-31 16:00:00,Ⅳ,13.7,8.77,12.04,497.1,34.6,2.97,0.025,0.054,1.48,0.051,11833650.0,2023-03-31
兰山嘴,2023-03-31 20:00:00,Ⅳ,13.3,8.55,11.06,490.7,31.6,3.22,0.025,0.058,1.63,0.024,7695820.0,2023-03-31
兰山嘴,2023-04-01 00:00:00,Ⅲ,12.8,8.45,10.63,495.8,30.9,2.56,0.025,0.044,1.48,0.017,7301811.0,2023-04-01
兰山嘴,2023-04-01 04:00:00,Ⅲ,12.8,8.42,10.53,493.6,31.2,2.47,0.025,0.046,1.49,0.017,7312347.0,2023-04-01
兰山嘴,2023-04-01 08:00:00,Ⅲ,12.9,8.45,10.56,491.5,26.5,2.49,0.025,0.044,1.5,0.02,7791478.0,2023-04-01
兰山嘴,2023-04-01 12:00:00,Ⅲ,13.8,8.5,10.83,491.0,26.0,2.73,0.025,0.043,1.44,0.015,9955770.0,2023-04-01
兰山嘴,2023-04-01 16:00:00,Ⅲ,14.9,8.56,11.07,488.5,21.1,2.36,0.025,0.043,1.43,0.017,8238480.0,2023-04-01
兰山嘴,2023-04-01 20:00:00,Ⅲ,14.6,8.53,11.0,489.2,18.6,2.59,0.025,0.037,1.44,0.015,6309758.0,2023-04-01
兰山嘴,2023-04-02 00:00:00,Ⅲ,14.4,8.52,10.88,497.6,16.9,2.35,0.025,0.04,1.45,0.017,6599824.0,2023-04-02
兰山嘴,2023-04-02 04:00:00,Ⅲ,14.1,8.5,10.89,499.7,17.2,2.39,0.025,0.037,1.54,0.016,6969789.0,2023-04-02
兰山嘴,2023-04-02 08:00:00,Ⅲ,14.0,8.52,10.88,498.7,19.9,2.42,0.025,0.037,1.53,0.017,7522596.0,2023-04-02
兰山嘴,2023-04-02 12:00:00,Ⅲ,15.0,8.64,11.33,500.2,21.0,2.5,0.025,0.044,1.5,0.023,11536220.0,2023-04-02
兰山嘴,2023-04-02 16:00:00,Ⅲ,16.2,8.77,11.94,500.0,20.9,2.56,0.025,0.044,1.51,0.024,11239550.0,2023-04-02
兰山嘴,2023-04-02 20:00:00,Ⅳ,15.7,8.68,11.42,505.4,22.7,3.11,0.025,0.051,1.58,0.022,7902207.0,2023-04-02
兰山嘴,2023-04-03 00:00:00,Ⅴ,15.5,8.58,10.89,546.3,89.7,2.82,0.025,0.125,1.52,0.028,10691270.0,2023-04-03
兰山嘴,2023-04-03 04:00:00,Ⅴ,14.9,8.51,10.38,491.4,94.3,4.19,0.025,0.135,1.57,0.022,10534480.0,2023-04-03
兰山嘴,2023-04-03 08:00:00,Ⅴ,14.6,8.38,10.06,470.5,129.7,3.6,0.025,0.135,1.57,0.017,11347250.0,2023-04-03
兰山嘴,2023-04-03 12:00:00,Ⅴ,14.6,8.42,10.04,472.0,112.4,4.01,0.025,0.14,1.32,0.022,11670190.0,2023-04-03
兰山嘴,2023-04-03 16:00:00,Ⅴ,14.6,8.37,9.9,479.4,120.7,3.79,0.025,0.116,1.26,0.017,11521860.0,2023-04-03
兰山嘴,2023-04-03 20:00:00,Ⅴ,14.6,8.36,9.84,477.3,138.3,3.83,0.025,0.15,1.35,0.02,12269150.0,2023-04-03
兰山嘴,2023-04-04 00:00:00,Ⅴ,14.4,8.36,9.72,506.7,154.6,4.22,0.025,0.154,1.56,0.019,12752910.0,2023-04-04
兰山嘴,2023-04-04 04:00:00,Ⅴ,14.3,8.36,9.65,506.2,179.4,4.22,0.025,0.192,1.37,0.018,13801090.0,2023-04-04
兰山嘴,2023-04-04 08:00:00,Ⅴ,14.4,8.32,9.54,514.5,169.0,5.2,0.025,0.174,1.4,0.018,13179980.0,2023-04-04
兰山嘴,2023-04-04 12:00:00,Ⅴ,14.8,8.29,9.57,529.8,122.4,5.08,0.025,0.119,1.6,0.019,11502160.0,2023-04-04
兰山嘴,2023-04-04 16:00:00,Ⅴ,15.4,8.28,9.36,507.4,95.8,4.22,0.025,0.131,1.6,0.021,11261210.0,2023-04-04
兰山嘴,2023-04-04 20:00:00,Ⅴ,15.1,8.26,9.17,512.6,83.0,4.28,0.025,0.112,1.71,0.023,10415730.0,2023-04-04
